epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6172,1.29789,1.52455,0.95438,0.35661,0.58511,0.32312,0.19761,1.09587,5.0286,0.91534,0.000411111,0.000411111,0.000411111
2,93.5698,1.28006,0.99781,0.94604,0.50588,0.61603,0.49002,0.27029,1.21286,1.22741,0.94403,0.000811388,0.000811388,0.000811388
3,145.575,1.26467,1.03878,0.94299,0.50696,0.56678,0.5093,0.28432,1.22182,0.95507,0.93765,0.00119516,0.00119516,0.00119516
4,200.82,1.22394,0.9263,0.94646,0.75429,0.63494,0.68018,0.39947,1.07568,0.83687,0.91346,0.00117575,0.00117575,0.00117575
5,256.482,1.21823,0.81563,0.92042,0.76218,0.69982,0.73092,0.43877,1.13063,0.71115,0.90906,0.001151,0.001151,0.001151
6,312.707,1.15179,0.75345,0.9112,0.68869,0.73579,0.73055,0.43911,1.07738,0.70521,0.90595,0.00112625,0.00112625,0.00112625
7,366.093,1.10533,0.69707,0.90477,0.74871,0.64853,0.73488,0.44873,1.03845,0.64235,0.90103,0.0011015,0.0011015,0.0011015
8,419.415,1.11461,0.68713,0.90623,0.78434,0.67056,0.73531,0.4455,1.08983,0.61481,0.90563,0.00107675,0.00107675,0.00107675
9,466.941,1.16822,0.66217,0.91876,0.79448,0.64919,0.68973,0.40475,1.13628,0.73938,0.90878,0.001052,0.001052,0.001052
10,515.931,1.1537,0.65294,0.92159,0.80826,0.72788,0.79214,0.47871,1.0814,0.63279,0.92343,0.00102725,0.00102725,0.00102725
11,568.429,1.08657,0.62151,0.90111,0.80531,0.73199,0.7981,0.49864,1.04898,0.58995,0.8924,0.0010025,0.0010025,0.0010025
12,623.145,1.0657,0.60332,0.89424,0.78829,0.72603,0.77695,0.49815,1.0253,0.54575,0.88207,0.00097775,0.00097775,0.00097775
13,674.133,1.03672,0.56823,0.87882,0.81534,0.73772,0.7848,0.50268,1.0007,0.55522,0.88229,0.000953,0.000953,0.000953
14,735.294,1.01859,0.55335,0.87913,0.82863,0.77144,0.81615,0.52985,0.98481,0.52037,0.87921,0.00092825,0.00092825,0.00092825
15,797.057,1.09631,0.56405,0.88957,0.83855,0.77197,0.81915,0.52127,1.00561,0.52525,0.87948,0.0009035,0.0009035,0.0009035
16,850.886,1.02702,0.54071,0.87103,0.80938,0.8014,0.8297,0.53846,0.97344,0.50356,0.87678,0.00087875,0.00087875,0.00087875
17,903.005,0.99313,0.52012,0.88082,0.87734,0.75143,0.80524,0.52051,0.97811,0.51261,0.87986,0.000854,0.000854,0.000854
18,951.542,0.99918,0.5182,0.87054,0.86523,0.77597,0.81859,0.53543,0.99468,0.50835,0.88001,0.00082925,0.00082925,0.00082925
19,999.076,0.99351,0.52104,0.87,0.89627,0.77399,0.83047,0.54165,0.95014,0.50183,0.87203,0.0008045,0.0008045,0.0008045
20,1062.05,0.98334,0.50447,0.86441,0.90085,0.79661,0.8533,0.54613,0.96437,0.48541,0.872,0.00077975,0.00077975,0.00077975
21,1116.38,0.99651,0.50304,0.87005,0.85536,0.78794,0.83092,0.53449,0.97247,0.49582,0.86776,0.000755,0.000755,0.000755
22,1163.87,0.99098,0.5046,0.86589,0.86581,0.8223,0.84599,0.52958,1.00725,0.48906,0.87573,0.00073025,0.00073025,0.00073025
23,1211.76,0.9607,0.49642,0.85857,0.87828,0.79094,0.84463,0.54357,0.95486,0.47315,0.87086,0.0007055,0.0007055,0.0007055
24,1262.62,0.94063,0.48448,0.86074,0.81579,0.82358,0.84414,0.52765,0.95767,0.48506,0.86994,0.00068075,0.00068075,0.00068075
25,1310.95,0.94688,0.47921,0.86378,0.86748,0.83802,0.85031,0.53417,0.98771,0.47869,0.882,0.000656,0.000656,0.000656
26,1359.42,0.93676,0.48763,0.86234,0.88526,0.80559,0.85174,0.55225,0.97635,0.48925,0.8724,0.00063125,0.00063125,0.00063125
27,1412.82,0.92974,0.47811,0.86161,0.85859,0.8172,0.83488,0.54586,0.91925,0.46575,0.86384,0.0006065,0.0006065,0.0006065
28,1462.27,0.91565,0.45932,0.8593,0.86772,0.79924,0.84518,0.55023,0.93654,0.4608,0.86721,0.00058175,0.00058175,0.00058175
29,1513.62,0.91443,0.46403,0.85915,0.82516,0.81658,0.84189,0.56509,0.92744,0.47457,0.86824,0.000557,0.000557,0.000557
30,1570.02,0.9099,0.45678,0.86034,0.86959,0.80294,0.85158,0.55583,0.95368,0.45827,0.87141,0.00053225,0.00053225,0.00053225
31,1618.27,0.91904,0.45914,0.85368,0.86703,0.83119,0.84913,0.55615,0.92994,0.44708,0.86754,0.0005075,0.0005075,0.0005075
32,1666.32,0.89603,0.4458,0.8539,0.9094,0.82636,0.86251,0.5694,0.92121,0.437,0.86296,0.00048275,0.00048275,0.00048275
33,1719.2,0.87993,0.43753,0.84891,0.90026,0.80966,0.85498,0.56997,0.93587,0.44955,0.86452,0.000458,0.000458,0.000458
34,1770.94,0.89407,0.43755,0.85379,0.92065,0.82783,0.87326,0.56791,0.9562,0.45269,0.86729,0.00043325,0.00043325,0.00043325
35,1819.98,0.89993,0.43859,0.85152,0.89128,0.85551,0.87898,0.57524,0.93851,0.44642,0.86708,0.0004085,0.0004085,0.0004085
36,1872.13,0.88769,0.43456,0.85444,0.90173,0.82827,0.85485,0.56557,0.91888,0.43324,0.86053,0.00038375,0.00038375,0.00038375
37,1919.87,0.8834,0.42975,0.84567,0.85958,0.84028,0.85947,0.56491,0.92996,0.44114,0.86221,0.000359,0.000359,0.000359
38,1967.67,0.88218,0.42389,0.84583,0.94233,0.81001,0.8641,0.5661,0.9283,0.44011,0.86109,0.00033425,0.00033425,0.00033425
39,2018.06,0.89135,0.42465,0.84639,0.87409,0.84234,0.85812,0.56529,0.8975,0.43412,0.85763,0.0003095,0.0003095,0.0003095
40,2065.84,0.8516,0.41542,0.84588,0.90323,0.82806,0.8764,0.57985,0.91513,0.43307,0.85826,0.00028475,0.00028475,0.00028475
41,2119.15,0.83281,0.39559,0.84396,0.85931,0.83589,0.86223,0.57962,0.91573,0.42868,0.85742,0.00026,0.00026,0.00026
42,2167.83,0.82301,0.38499,0.84706,0.86173,0.84153,0.87789,0.58397,0.90566,0.42619,0.8581,0.00023525,0.00023525,0.00023525
43,2219.09,0.82413,0.38358,0.84926,0.92445,0.82066,0.87232,0.57966,0.89895,0.42102,0.85789,0.0002105,0.0002105,0.0002105
44,2270.87,0.81295,0.3814,0.84447,0.91786,0.82933,0.87438,0.57908,0.90806,0.42368,0.85901,0.00018575,0.00018575,0.00018575
45,2318.54,0.80953,0.37669,0.84327,0.9006,0.81821,0.86841,0.58029,0.90291,0.42012,0.86138,0.000161,0.000161,0.000161
46,2366.83,0.79987,0.37164,0.83985,0.92504,0.83144,0.8729,0.5797,0.90289,0.41648,0.85798,0.00013625,0.00013625,0.00013625
47,2413.74,0.81608,0.37265,0.84739,0.95068,0.81458,0.88151,0.58453,0.90791,0.40995,0.86066,0.0001115,0.0001115,0.0001115
48,2467.13,0.7957,0.36361,0.84119,0.92414,0.81308,0.87813,0.58645,0.89491,0.40428,0.85722,8.675e-05,8.675e-05,8.675e-05
49,2520.65,0.79574,0.361,0.83622,0.91612,0.81951,0.877,0.58527,0.9027,0.40396,0.85871,6.2e-05,6.2e-05,6.2e-05
50,2573.47,0.78013,0.35814,0.84037,0.87336,0.85588,0.87862,0.59025,0.89042,0.40308,0.85606,3.725e-05,3.725e-05,3.725e-05
